target_no,cutoff,rows_raw,rows_after_cutoff,rows_running,rows_voltage_over_50,over_first_datetime,over_last_datetime,over50_plug_1,max_over50_plug_1_kV,over50_plug_2,max_over50_plug_2_kV,over50_plug_3,max_over50_plug_3_kV,over50_plug_4,max_over50_plug_4_kV,over50_plug_5,max_over50_plug_5_kV,over50_plug_6,max_over50_plug_6_kV
5630,2022-06-26T00:30:00,133462,62598,19922,0,,,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
8950,2021-06-12T20:30:00,85632,79016,31210,0,,,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
9110,none,72546,72546,33528,0,,,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
9111,none,72547,72547,33417,0,,,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
9120,none,72899,72899,19562,0,,,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
9220,none,65307,65307,22074,0,,,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
9221,none,65307,65307,22188,0,,,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
9230,none,65221,65221,25111,0,,,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
9240,none,62909,62909,16506,0,,,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
9290,2022-07-21T10:00:00,97617,59639,24731,0,,,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
9380,2023-05-31T00:30:00,51239,44590,8672,0,,,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
9381,2023-05-31T14:00:00,51237,44561,8580,0,,,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
9410,none,50130,50130,28163,0,,,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
9420,none,48910,48910,34318,0,,,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
9421,none,48910,48910,34315,0,,,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
9440,none,47483,47483,21100,0,,,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
9520,none,38529,38529,5166,0,,,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
9540,none,44631,44631,19310,0,,,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
9570,none,0,0,0,0,,,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
9580,2023-07-21T00:30:00,64225,42118,1399,0,,,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
9581,2023-07-21T00:30:00,64032,42118,1459,0,,,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
9610,2024-04-02T19:30:00,29948,29814,16720,0,,,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
9611,2024-04-02T20:00:00,29948,29813,16693,0,,,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
9690,2024-03-19T08:30:00,95214,30502,27214,0,,,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
9720,none,94068,94068,46163,0,,,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
9760,none,29207,29207,13477,0,,,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
9780,none,21685,21685,3599,0,,,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
9820,none,26730,26730,6509,0,,,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
9850,none,0,0,0,0,,,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
